Type,ID,Title,Description,ParentID,Status
Epic,E1,"Integração Completa Gemini CLI","Infraestrutura Final de Agentes Autônomos (GEMINI.md dinâmico, ACP Mode, React Dashboard e Orquestração PowerShell)",,todo
Backlog,B1,"Atualizador Automático do GEMINI.md","Implementar serviço no backend C# para gerar GEMINI.md dinamicamente",E1,todo
Sprint,S1,"Sprint de Sync C#","Criar HostedService para escutar eventos de Kanban",B1,todo
Task,T1,"Criar IHostedService para Eventos","Interceptar eventos de mudança de Sprint e persistir o arquivo localmente",S1,todo
Subtask,ST1,"Criar arquivo abstrato GeminiMdWriter","Serviço injetável para gravação de IO",T1,todo
Subtask,ST2,"Registrar Event Handler de Sprint","Capturar SprintStatusChangedEvent e gravar as tarefas atuais no GEMINI.md",T1,todo
Backlog,B2,"Controlador de ACP Mode e Model Steering","Controlador em Python FastMCP para enviar mensagens ACP e responder Webhooks",E1,todo
Sprint,S2,"Sprint de Controle MCP","Adicionar rotas ACP no FastMCP e webhooks",B2,todo
Task,T2,"Integrar Webhook no C# e Rotas no Python","Receber dados no C# e repassar Steering para MCP em Python via gRPC ou socket",S2,todo
Subtask,ST3,"Criar endpoint /api/agent-runs","Receber status post-run do Gemini CLI",T2,todo
Subtask,ST4,"Implementar envio de ACP Mode Message","Comunicar via pipe com o Gemini CLI ativo para Model Steering",T2,todo
Backlog,B3,"Exibição do Dashboard de Agentes","Dashboard no React para monitorar logs do agente",E1,todo
Sprint,S3,"Sprint de UI Agentes","Criar tela Agent Dashboard consumindo Jaeger e API",B3,todo
Task,T3,"Criar tela Dashboard React","Componente AgentDashboard.tsx com WebSocket ou Polling",S3,todo
Subtask,ST5,"Componente visual AgentStream","Exibir logs do agente em tempo real baseados nos spans do Jaeger",T3,todo
Backlog,B4,"Orquestrador Automático de Subagentes","Backend C# executando run-subagent-worktree.ps1 via System.Diagnostics",E1,todo
Sprint,S4,"Sprint Orchestration","Criar C# Process Runner para o script PS1",B4,todo
Task,T4,"Process Runner do PowerShell","Ao atualizar WorkItem para 'agent', invocar PowerShell de criação do worktree",S4,todo
Subtask,ST6,"Implementar SubagentProcessManager.cs","Classe para invocar powershell e capturar stdout",T4,todo
